date,portid,portcalls,portcalls_container,portcalls_cargo,portcalls_tanker
2019-01-01,port1114,81,19,36,45
2019-01-02,port1114,77,12,35,42
2019-01-03,port1114,98,27,49,49
2019-01-04,port1114,89,20,43,46
2019-01-05,port1114,92,18,33,59
2019-01-06,port1114,78,18,34,44
2019-01-07,port1114,107,28,56,51
2019-01-08,port1114,95,17,36,59
2019-01-09,port1114,100,23,49,51
2019-01-10,port1114,103,24,45,58
2019-01-11,port1114,108,25,52,56
2019-01-12,port1114,91,23,40,51
2019-01-13,port1114,84,17,42,42
2019-01-14,port1114,108,26,52,56
2019-01-15,port1114,89,15,42,47
2019-01-16,port1114,105,21,51,54
2019-01-17,port1114,99,18,54,45
2019-01-18,port1114,104,18,42,62
2019-01-19,port1114,85,21,38,47
2019-01-20,port1114,99,21,49,50
2019-01-21,port1114,115,21,55,60
2019-01-22,port1114,89,19,49,40
2019-01-23,port1114,108,18,48,60
2019-01-24,port1114,96,28,51,45
2019-01-25,port1114,108,19,48,60
2019-01-26,port1114,91,22,48,43
2019-01-27,port1114,77,14,34,43
2019-01-28,port1114,97,23,51,46
2019-01-29,port1114,104,18,45,59
2019-01-30,port1114,104,24,51,53
2019-01-31,port1114,118,26,61,57
2019-02-01,port1114,122,20,47,75
2019-02-02,port1114,85,22,38,47
2019-02-03,port1114,92,20,42,50
2019-02-04,port1114,95,27,53,42
2019-02-05,port1114,104,25,57,47
2019-02-06,port1114,95,21,52,43
2019-02-07,port1114,110,21,55,55
2019-02-08,port1114,104,21,42,62
2019-02-09,port1114,97,21,44,53
2019-02-10,port1114,77,14,41,36
2019-02-11,port1114,110,23,43,67
2019-02-12,port1114,110,25,53,57
2019-02-13,port1114,111,19,52,59
2019-02-14,port1114,98,29,56,42
2019-02-15,port1114,102,16,47,55
2019-02-16,port1114,110,28,45,65
2019-02-17,port1114,87,16,36,51
2019-02-18,port1114,108,31,63,45
2019-02-19,port1114,92,17,42,50
2019-02-20,port1114,109,24,59,50
2019-02-21,port1114,108,25,52,56
2019-02-22,port1114,94,18,42,52
2019-02-23,port1114,94,21,36,58
2019-02-24,port1114,98,18,43,55
2019-02-25,port1114,112,29,61,51
2019-02-26,port1114,108,25,57,51
2019-02-27,port1114,103,19,55,48
2019-02-28,port1114,101,17,42,59
2019-03-01,port1114,111,15,47,64
2019-03-02,port1114,80,17,34,46
2019-03-03,port1114,86,21,40,46
2019-03-04,port1114,105,27,58,47
2019-03-05,port1114,98,24,47,51
2019-03-06,port1114,106,20,47,59
2019-03-07,port1114,108,20,40,68
2019-03-08,port1114,107,28,54,53
2019-03-09,port1114,90,12,38,52
2019-03-10,port1114,69,15,32,37
2019-03-11,port1114,90,22,49,41
2019-03-12,port1114,91,18,48,43
2019-03-13,port1114,88,15,42,46
2019-03-14,port1114,110,20,53,57
2019-03-15,port1114,107,27,48,59
2019-03-16,port1114,78,10,30,48
2019-03-17,port1114,79,20,43,36
2019-03-18,port1114,103,18,51,52
2019-03-19,port1114,106,24,52,54
2019-03-20,port1114,98,18,44,54
2019-03-21,port1114,103,27,45,58
2019-03-22,port1114,101,20,49,52
2019-03-23,port1114,102,21,36,66
2019-03-24,port1114,83,16,36,47
2019-03-25,port1114,106,26,62,44
2019-03-26,port1114,112,27,56,56
2019-03-27,port1114,104,19,55,49
2019-03-28,port1114,106,30,52,54
2019-03-29,port1114,102,17,45,57
2019-03-30,port1114,98,20,42,56
2019-03-31,port1114,87,19,36,51
2019-04-01,port1114,109,24,51,58
2019-04-02,port1114,107,27,52,55
2019-04-03,port1114,109,18,48,61
2019-04-04,port1114,111,27,54,57
2019-04-05,port1114,105,24,47,58
2019-04-06,port1114,95,21,44,51
2019-04-07,port1114,89,13,36,53
2019-04-08,port1114,106,26,58,48
2019-04-09,port1114,105,27,52,53
2019-04-10,port1114,100,18,44,56
2019-04-11,port1114,128,39,68,60
2019-04-12,port1114,100,21,40,60
2019-04-13,port1114,90,13,36,54
2019-04-14,port1114,104,18,50,54
2019-04-15,port1114,99,34,60,39
2019-04-16,port1114,96,27,54,42
2019-04-17,port1114,93,20,44,49
2019-04-18,port1114,98,21,46,52
2019-04-19,port1114,102,27,46,56
2019-04-20,port1114,84,21,36,48
2019-04-21,port1114,89,18,40,49
2019-04-22,port1114,85,24,47,38
2019-04-23,port1114,104,22,52,52
2019-04-24,port1114,84,15,43,41
2019-04-25,port1114,98,27,50,48
2019-04-26,port1114,101,18,38,63
2019-04-27,port1114,101,17,29,72
2019-04-28,port1114,96,20,47,49
2019-04-29,port1114,100,31,60,40
2019-04-30,port1114,21,5,12,9
2019-05-01,port1114,163,33,71,92
2019-05-02,port1114,104,24,57,47
2019-05-03,port1114,94,25,48,46
2019-05-04,port1114,96,19,39,57
2019-05-05,port1114,90,20,41,49
2019-05-06,port1114,102,25,54,48
2019-05-07,port1114,98,17,46,52
2019-05-08,port1114,96,19,44,52
2019-05-09,port1114,103,26,49,54
2019-05-10,port1114,100,23,50,50
2019-05-11,port1114,94,21,41,53
2019-05-12,port1114,98,22,50,48
2019-05-13,port1114,104,24,55,49
2019-05-14,port1114,103,21,51,52
2019-05-15,port1114,92,25,45,47
2019-05-16,port1114,104,23,47,57
2019-05-17,port1114,106,26,54,52
2019-05-18,port1114,80,15,29,51
2019-05-19,port1114,79,18,40,39
